group,polarity,origin_folder,origin_label,title,title_file,entry_id,entry_index,date,year,sent_ensemble_score,sent_savasy_score,sent_akoksal_score,sent_bomayesa_score,clean_text
Syrian,negative,suriye_titles_data,Syrian,suriyelilere_yardım_projesi.json,suriyelilere_yardım_projesi.json,149380103,48,2023-02-16 22:28:00,2023,-0.9997519850730896,-0.9997519850730896,,,10 ilimiz suriyelilerden beter oldu:(
Syrian,negative,suriye_titles_data,Syrian,suriyeliden_borç_almak.json,suriyeliden_borç_almak.json,91920270,1,2019-06-30 00:31:00,2019,-0.9997476935386658,-0.9997476935386658,,,bir ensar olarak uzuldugum olay:(
Syrian,negative,suriye_titles_data,Syrian,afgan_ve_somalili_kavgasını_ayıran_suriyeli.json,afgan_ve_somalili_kavgasını_ayıran_suriyeli.json,126591675,5,2021-08-06 12:47:00,2021,-0.9997451901435852,-0.9997451901435852,,,ühüühü yapmayın #ümmetkardeşliği:((
Syrian,negative,suriye_titles_data,Syrian,suriyeliler_için_misafirlik_bitti.json,suriyeliler_için_misafirlik_bitti.json,149030765,400,2023-02-10 22:32:00,2023,-0.9997331500053406,-0.9997331500053406,,,"artık biz garibiz mazlumuz, evsiz barksız yetimiz:("
Syrian,negative,suriye_titles_data,Syrian,suriye.json,suriye.json,29726162,620,2012-08-09 21:53:00,2012,-0.9997280240058899,-0.9997280240058899,,,sözde özgür suriye ordusunu destekleyenlere kapak niteliğinde bi video çıkarmış ülke: (bkz: 
Syrian,negative,suriye_titles_data,Syrian,suriyeliler_gitti_diye_isyan_eden_tekstilci.json,suriyeliler_gitti_diye_isyan_eden_tekstilci.json,170912569,226,2024-12-10 20:59:00,2024,-0.9997174143791199,-0.9997174143791199,,,şam'ı bile israil işgal etti. ne gitmesi:(
Syrian,negative,suriye_titles_data,Syrian,caddebostan_sahilini_suriyelilerin_istila_etmesi.json,caddebostan_sahilini_suriyelilerin_istila_etmesi.json,90921096,69,2019-06-05 19:39:00,2019,-0.9997158646583557,-0.9997158646583557,,,"(bkz: mersin sahilini suriyelilerin işgal etmesi) eksiği yok, fazlası var. ;(("
Syrian,negative,suriye_titles_data,Syrian,suriyelilerle_ilgili_istatistikler.json,suriyelilerle_ilgili_istatistikler.json,93099201,10,2019-07-26 12:43:00,2019,-0.9997075200080872,-0.9997075200080872,,,"en az bizim kadar gelişmiş olan ülkeler ile toplanıp bu yardımlar yapsak dünya daha güzel bir yer olmaya doğru giderdi, bırak suriyeli meselesini. bu milyorlar canımı sıktı:("
Syrian,negative,suriye_titles_data,Syrian,sahilde_public_yapan_suriler.json,sahilde_public_yapan_suriler.json,138151260,437,2022-05-31 15:26:00,2022,-0.999704897403717,-0.999704897403717,,,ben evde bu kadar rahat değilim entrysini giren abiye ve yengeye geçmiş olsun dileklerimi iletiyorum.:(
Syrian,negative,suriye_titles_data,Syrian,suriyelilere_31_milyar_euro_harcadık.json,suriyelilere_31_milyar_euro_harcadık.json,76399044,300,2018-04-27 09:38:00,2018,-0.9997032284736633,-0.9997032284736633,,,nickimin 37 katı:(
Syrian,positive,suriye_titles_data,Syrian,suriyeliyi_görünce_ben_buralı_değilim_diyen_dayı.json,suriyeliyi_görünce_ben_buralı_değilim_diyen_dayı.json,89318251,4,2019-04-24 23:38:00,2019,0.9998934268951416,0.9998934268951416,,,donusler cok iyi ya ibretlik ah bir bana sorsaydi:))
Syrian,positive,suriye_titles_data,Syrian,şaka_maka_suriyelilerin_gidiyor_olması.json,şaka_maka_suriyelilerin_gidiyor_olması.json,170910146,334,2024-12-10 19:16:00,2024,0.9998893737792969,0.9998893737792969,,,erken giden arsa ev sahibi olur . lazkiyede nargile dükkanı açma var bi hayalimiz:)
